Word,Count,Sense,Definition,Example 1,Example 2
keep one's eyes peeled,22,,,u           pay attention,be watchful
keep open,9,,retain rights to,keep my job for me while I give birth,"keep my seat, please"
keep quiet,10,,refrain from divulging sensitive information,keep quiet about confidential information,Don't tell him any secrets--he cannot keep his mouth shut!
keep up,7,,prevent from going to bed at night,The anticipation of the trip kept the children up all night,I kept myself up all night studying for the exam
kick,4,,,make a goal,He kicked the extra point after touchdown
kick,4,,stop consuming,kick a habit,give up alcohol
kick,4,,strike with the foot,The boy kicked the dog,Kick the door down
kick,4,,thrash about or strike out with the feet,,
kick around,11,,treat badly,abuse,They won't have me to kick around any more!
kick around,11,,be around,be alive or active,Does the old man still kick around?
kick back,9,,,pay a kickback,make an illegal payment
kick one's heels,16,,wait or pass the time aimlessly or futilely,be kept waiting,She kicked her heels for hours at the gate of the Embassy
kidnap,6,,,take away to an undisclosed location against their will and usually in order to extract a ransom,The industrialist's son was kidnapped
kill,4,,cause to die,"put to death, usually intentionally or knowingly",This man killed several people when he tried to rob a bank
kill,4,,,hit with great force,He killed the ball
kill,4,,,"hit with so much force as to make a return impossible, in racket games",She killed the ball
kill,4,shoot down,thwart the passage of,kill a motion,he shot down the student's proposal
kill,4,,be fatal,cigarettes kill,drunken driving kills
kite,4,,fly a kite,Kids were kiting in the park,They kited the Red Dragon model
kite,4,,,soar or fly like a kite,The pilot kited for a long time over the mountains
knead,5,,make uniform,knead dough,work the clay until it is soft
knell,5,,ring as in announcing death,,
knit,4,,,make (textiles) by knitting,knit a scarf
knock,5,criticize,find fault with,express criticism of,point out real or perceived flaws
knock,5,,rap with the knuckles,knock on the door,
knock cold,10,,knock unconscious or senseless,the boxing champion knocked out his opponent in a few seconds,
knot,4,,make into knots,make knots out of,She knotted her fingers
know,4,,be familiar or acquainted with a person or an object,She doesn't know this composer,Do you know my sister?
know,4,cognize,be cognizant or aware of a fact or a specific piece of information,possess knowledge or information about,I know that the President lied to the people
know,4,,be aware of the truth of something,have a belief or faith in something,regard as true beyond any doubt
know,4,,know how to do or perform something,She knows how to knit,Does your husband know how to cook?
know,4,experience,"have firsthand knowledge of states, situations, emotions, or sensations",I know the feeling,have you ever known hunger?
know f,6,,have fixed in the mind,I know Latin,This student knows her irregular verbs
label,5,,assign a label to,designate with a label,These students were labelled `learning disabled'
labor,5,,work hard,She was digging away at her math homework,Lexicographers drudge all day long
lace,4,,,do lacework,The Flemish women were lacing in front of the cathedral
lacerate,8,,deeply hurt the feelings of,distress,his lacerating remarks
lacquer,7,,,coat with lacquer,A lacquered box from China
land,4,,reach or come to rest,The bird landed on the highest branch,The plane landed in Istanbul
land,4,put down,,cause to come to the ground,the pilot managed to land the airplane safely
land up,7,,"block with earth, as after a landslide",,
landscape,9,,,do landscape gardening,My sons landscapes for corporations and earns a good living
landscape,9,,,embellish with plants,Let's landscape the yard
lap,3,,take up with the tongue,The cat lapped up the milk,the cub licked the milk from its mother's breast
lap,3,,move with or cause to move with a whistling or hissing sound,The bubbles swoshed around in the glass,The curtain swooshed open
lapse,5,,"drop to a lower level, as in one's morals or standards",,
lard,4,,,prepare or cook with lard,lard meat
lateralize,10,,move or displace to one side so as to make lateral,,
laud,4,,"praise, glorify, or honor",extol the virtues of one's children,glorify one's spouse's cooking
launch,6,,propel with force,launch the space shuttle,Launch a ship
launch,6,set in motion |,get going,give impetus to,launch a career
launch,6,,launch for the first time,launch on a maiden voyage,launch a ship
lavish,6,,expend profusely,also used with abstract nouns,He was showered with praise
lay,3,,put in a horizontal position,lay the books on the table,lay the patient carefully onto the bed
lay,3,,prepare or position for action or operation,lay a fire,lay the foundation for a new health care plan
lay out,7,,spend or invest,lay out thousands on gold,he laid out a fortune in the hope of making a huge profit
lead,4,,travel in front of,go in advance of others,The procession was headed by John
lead,4,take | direct,take somebody somewhere,We lead him to our chief,can you take me to the main entrance?
lead,4,top b,be ahead of others,be the first,she topped her class every year
leaf,4,,turn over pages,leaf through a book,leaf a manuscript
leak,4,,have an opening that allows light or substances to enter or go out,The container leaked gasoline,the roof leaks badly
leak,4,,enter or escape as through a hole or crack or fissure,Water leaked out of the can into the backpack,Gas leaked into the basement
leap,4,,pass abruptly from one state or topic to another,leap into fame,jump to a conclusion
learn,5,,gain knowledge or skills,She learned dancing from her sister,I learned Sanskrit
learn,5,hear,"get to know or become aware of, usually accidentally",I learned that she has two grown-up children,I see that you have been promoted
lease,5,,engage for service under a term of contract,We took an apartment on a quiet street,Let's rent a car
leave,5,leave alone,leave unchanged or undisturbed or refrain from taking,leave it as is,leave the young fawn alone
leave,5,leave behind,be survived by after one's death,He left six children,"At her death, she left behind her husband and 11 cats"
leave,5,,"go and leave behind, either intentionally or by neglect or forgetfulness",She left a mess when she moved out,His good luck finally left him
leave,5,go forth,go away from a place,At what time does your train leave?,She didn't leave until midnight
leave,5,,remove oneself from an association with or participation in,She wants to leave,The teenager left home
leave,5,,produce as a result or residue,The water left a mark on the silk dress,Her blood left a stain on the napkin
leave,5,allow for,make a possibility or provide opportunity for,permit to be attainable or cause to remain,This leaves no room for improvement
leave,5,,act or be so as to become in a specified state,The inflation left them penniless,The president's remarks left us speechless
leave,5,,have left or have as a remainder,That left the four of us,19 minus 8 leaves 11
leave no stone unturned,23,,search thoroughly and exhaustively,The police left no stone unturned in looking for the President's murderer,
leave off,9,,"come to an end, stop or cease",the road leaves off at the edge of the forest,leave off where you started
leave office,12,,give up or retire from a position,The Secretary of the Navy will leave office next month,The chairman resigned over the financial scandal
lecture,7,talk |,deliver a lecture or talk,She will talk at Rutgers next week,Did you ever lecture at Harvard?
leer,4,,look suggestively or obliquely,"look or gaze with a sly, immodest, or malign expression",The men leered at the young women on the beach
legislate,9,,"make laws, bills, etc. or bring into effect by legislation",They passed the amendment,We cannot legislate how people spend their free time
legitimate,10,,make (an illegitimate child) legitimate,declare the legitimacy of (someone),They legitimized their natural child
lend,4,,give temporarily,let have for a limited time,I will lend you my car
lend,4,impart | bestow | contribute | add,bestow a quality on,Her presence lends a certain cachet to the company,The music added a lot to the play
lend,4,,have certain characteristics of qualities for something,be open or vulnerable to,This story would lend itself well to serialization on television
lend oneself,12,,be applicable to,as to an analysis,This theory lends itself well to our new data
let,3,,make it possible through a specific action or lack of action for something to happen,This permits the water to rush in,This sealed door won't allow the water come into the basement
let go of,9,,"release, as from one's grip","Let go of the door handle, please",relinquish your grip on the rope--you won't fall
level,5,,talk frankly with,lay it on the line,I have to level with you
lie,3,,tell an untruth,pretend with intent to deceive,Don't lie to your parents
lie,3,,"be lying, be prostrate",be in a horizontal position,The sick man lay in bed all day
lie,3,rest,have a place in relation to something else,The fate of Bosnia lies in the hands of the West,The responsibility rests with the Allies
lie low,7,,to try to avoid detection especially by police,After we knock off that liquor store we'll have to lay low for a while,
lifehack,8,,make one's day-to-day activities more efficient,,
lift,4,raise d,put an end to,lift a ban,raise a siege
lift,4,,"rise upward, as from pressure or moisture",The floor is lifting slowly,
ligate,6,,,bind with a bandage or ligature,ligate the artery
ligate,6,,,bind chemically,The enzyme ligated
lighten,7,,reduce the weight on,make lighter,she lightened the load on the tired donkey
like,4,,feel about or towards,"consider, evaluate, or regard",How did you like the President's speech last night?
like,4,,find enjoyable or agreeable,I like jogging,She likes to read Russian novels
limit,5,,restrict or confine within limits,I limit you to two visits to the pub a day,please confine your questions to the topic
line,4,,cover the interior of,line the gloves,line a chimney
line,4,,be in line with,form a line along,trees line the riverbank
line up,7,,get something or somebody for a specific purpose,I found this gadget that will serve as a bottle opener,I got hold of these tools to fix our plumbing
lionize,7,,assign great social importance to,The film director was celebrated all over Hollywood,The tenor was lionized in Vienna
liquefy,7,,,become liquid or fluid when heated,the frozen fat liquefied
liquefy,7,liquify | liquidize,,"make (a solid substance) liquid, as by heating",liquefy the silver
list,4,,give or make a list of,name individually,give the names of
list,4,,tilt to one side,The balloon heeled over,the wind made the vessel heel
listen,6,hear | take heed,listen and pay attention,Listen to your father,We must hear the expert before we make a decision
literalize,10,,make literal,literalize metaphors,
live,4,,lead a certain kind of life,live in a certain style,we had to live frugally after the war
load,4,lade | laden | load up,fill or place a load on,load a car,load the truck with hay
load,4,charge |,provide (a device) with something necessary,He loaded his gun carefully,load the camera
load c adulterate,17,,"corrupt, debase, or make impure by adding a foreign or inferior substance",often by replacing valuable ingredients with inferior ones,adulterate liquor
locate,6,,discover the location of,determine the place of,find by searching or examining
lock in,7,,place in a place where something cannot be removed or someone cannot escape,The parents locked her daughter up for the weekend,She locked her jewels in the safe
lodge,5,,"put, fix, force, or implant",lodge a bullet in the table,stick your thumb in the crack
lodge,5,,be a lodger,stay temporarily,Where are you lodging in Paris?
loiter,6,,be about,The high school students like to loiter in the Central Square,Who is this man that is hanging around the department?
look,4,,have a certain outward or facial expression,How does she look?,The child looks unhappy
look,4,,perceive with attention,direct one's gaze towards,She looked over the expanse of land
look,4,appear,give a certain impression or have a certain outward aspect,She seems to be sleeping,This appears to be a very difficult problem
look back,9,,look towards one's back,don't look back while you walk,
look out on,11,,be oriented in a certain direction,The house looks out on a tennis court,The apartment overlooks the Hudson
look to,7,,turn one's interests or expectations towards,look to the future,this method looks to significant wavings
loom,4,,appear very large or occupy a commanding position,The huge sculpture predominates over the fountain,Large shadows loomed on the canyon wall
loom,4,,"come into view indistinctly, often threateningly",Another air plane loomed into the sky,
loop,4,,"fly loops, perform a loop",the stunt pilot looped his plane,
loop,4,,move in loops,The bicycle looped around the tree,
loosen,6,,become loose or looser or less tight,The noose loosened,the rope relaxed
loot,4,plunder |,,take illegally,of intellectual property
lose,4,,suffer the loss of a person through death or removal,She lost her husband in the war,The couple that wanted to adopt the child lost her when the biological parents claimed her
lose,4,,allow to go out of sight or mind,The detective lost the man he was shadowing after he had to stop at a red light,lose the crowds by climbing a mountain
lose,4,,miss from one's possessions,lose sight of,I've lost my glasses again!
lose,4,,fail to keep or to maintain,"cease to have, either physically or in an abstract sense",She lost her purse when she left it unattended on her seat
lose,4,turn a loss,fail to make money in a business,make a loss or fail to profit,I lost thousands of dollars on that bad investment!
lose sight of,13,,be no longer able to see,We lost sight of the tower as pulled out of the harbor,
love,4,,have a great affection or liking for,I love French food,She loves her boss and works hard for him
lower,5,lour |,set lower,lower a rating,lower expectations
macerate,8,,"soften, usually by steeping in liquid, and cause to disintegrate as a result",macerate peaches,the gizzards macerates the food in the digestive system
machicolate,11,,,supply with projecting galleries,machicolate the castle walls
madrigal,8,,,sing madrigals,The group was madrigaling beautifully
magnetize,9,,,make magnetic,The strong magnet magnetized the iron shavings
mail,4,,cause to be directed or transmitted to another place,send me your latest results,I'll mail you the paper when it's written
maintain,8,defend |,state or assert,He maintained his innocence,
make,4,,act in a certain way so as to acquire,make friends,make enemies
make,4,,give certain properties to something,get someone mad,She made us look silly
make,4,make up,put in order or neaten,make the bed,make up a room
make,4,,make or cause to be or to become,make a mess in one's office,create a furor
make,4,,engage in,"make love, not war",make an effort
make,4,,be or be capable of being changed or made into,He makes a great host,He will make a fine father
make a clean breast of,22,,admit or acknowledge a wrongdoing or error,the writer of the anonymous letter owned up after they identified his handwriting,
make a work,11,,proceed along a path,work one's way through the crowd,make one's way into the forest
make b,6,,make by shaping or bringing together constituents,make a dress,make a cake
make bold,9,,take upon oneself,"act presumptuously, without permission",How dare you call my lawyer?
make c,6,,perform or carry out,make a decision,make a move
make c,6,,appear to begin an activity,He made to speak but said nothing in the end,She made as if to say hello to us
make c,6,,,add up to,four and four make eight
make d,6,,carry out or commit,make a mistake,commit a faux-pas
make f,6,,change from one form into another,make water into wine,make lead into gold
make f,6,,compel or make somebody or something to act in a certain way,People cannot be made to integrate just by passing a law,Heat makes you sweat
make no bones about,19,,acknowledge freely and openly,He makes no bones about the fact that he is gay,
make out,8,,comprehend,I cannot make out what this politician is saying,
make up,7,,make up work that was missed due to absence at a later point,I have to make up a French exam,Can I catch up with the material or is it too late?
man,3,,provide with workers,We cannot man all the desks,Students were manning the booths
man,3,,take charge of a certain job,occupy a certain work place,Mr. Smith manned the reception desk in the morning
manage,6,,"be in charge of, act on, or dispose of",I can deal with this crew of workers,This blender can't handle nuts
maneuver,8,manoeuver,act in order to achieve a certain goal,He maneuvered to get the chairmanship,She maneuvered herself into the directorship
manipulate,10,,"maintain influence over (others or oneself) skillfully, usually to one's advantage",She manipulates her boss,She is a very controlling mother and doesn't let her children grow up
manufacture,11,,put together out of artificial or natural components or parts,the company fabricates plastic chairs,They manufacture small toys
map,3,,make a map of,show or establish the features of details of,map the surface of Venus
mapquest,8,,,search for a location and directions by means of the MapQuest program,you can just mapquest the restaurant
marble,6,,,paint or stain like marble,marble paper
march,5,,"walk fast, with regular or measured steps",walk with a stride,He marched into the classroom and announced the exam
marinade,8,,,soak in marinade,marinade herring
mark,4,,make or leave a mark on,the scouts marked the trail,ash marked the believers' foreheads
market,6,,,"engage in the commercial promotion, sale, or distribution of",The company is marketing its new line of beauty products
market,6,,,buy household supplies,We go marketing every Saturday
marry,5,wed | tie,perform a marriage ceremony,The minister married us on Saturday,We were wed the following week
masculinize,11,,"produce virilism in or cause to assume masculine characteristics, as through a hormonal imbalance or hormone therapy",the drugs masculinized the teenage girl,
masculinize,11,,give a masculine appearance or character to,Fashion designers have masculinized women's looks in the s,
mask,4,,,cover with a sauce,mask the meat
masquerade,10,,pretend to be someone or something that you are not,he is masquerading as an expert on the internet,This silly novel is masquerading as a serious historical treaty
master,6,,have a firm understanding or knowledge of,be on top of,Do you control these data?
match,5,mate | couple | pair | twin,"bring two objects, ideas, or people together",This fact is coupled to the other one,"Matchmaker, can you match my daughter with a nice young man?"
match,5,,"be compatible, similar or consistent",coincide in their characteristics,The two stories don't agree in many details
mature,6,,develop and reach maturity,undergo maturation,He matured fast
mean,4,intend | signify | stand for,denote or connote,`maison' means `house' in French,An example sentence would show what this word means
mean,4,intend,mean or intend to express or convey,You never understand what I mean,what do his words intend?
mean,4,,have a specified degree of importance,My ex-husband means nothing to me,Happiness means everything
measure,7,,"determine the measurements of something or somebody, take measurements of",Measure the length of the wall,
measure,7,evaluate,"evaluate or estimate the nature, quality, ability, extent, or significance of",I will have the family jewels appraised by a professional,access all the factors when taking a risk
mechanize,9,mechanise |,make monotonous,make automatic or routine,"If your work becomes too mechanized, change jobs!"
meddle,6,,intrude in other people's affairs or business,interfere unwantedly,Don't meddle in my affairs!
meet,4,,"contend against an opponent in a sport, game, or battle",Princeton plays Yale this weekend,Charlie likes to play Mary
meet,4,,meet by design,be present at the arrival of,Can you meet me at the train station?
meet,4,run into | encounter,come together,I'll probably see you at the meeting,How nice to see you again!
meet,4,,collect in one place,We assembled in the church basement,Let's gather in the dining room
meet,4,,get to know,get acquainted with,I met this really handsome guy at a bar last night!
mellow,6,,make or grow (more) mellow,These apples need to mellow a bit more,The sun mellowed the fruit
melt,4,meld |,lose its distinct outline or shape,blend gradually,Hundreds of actors were melting into the scene
melt,4,run,"reduce or cause to be reduced from a solid to a liquid state, usually by heating",melt butter,melt down gold
melt a disappear a evaporate,28,,become less intense and fade away gradually,her resistance melted under his charm,her hopes evaporated after years of waiting for her fiance
memorize,8,,commit to memory,learn by heart,Have you memorized your lines for the play yet?
menace,6,,act in a threatening manner,A menacing person,
mention,7,advert c bring up,make reference to,His name was mentioned in connection with the invention,
mentor,6,,serve as a teacher or trusted counselor,The famous professor mentored him during his years in graduate school,She is a fine lecturer but she doesn't like mentoring
metamorphose,12,,change completely the nature or appearance of,"In Kafka's story, a person metamorphoses into a bug",The treatment and diet transfigured her into a beautiful young woman
metrify,7,,,compose in poetic meter,The bard metrified his poems very precisely
microwave,9,,,cook or heat in a microwave oven,You can microwave the leftovers
migrate,7,,move from one country or region to another and settle there,Many Germans migrated to South America in the mid-th century,This tribe transmigrated many times over the centuries
migrate,7,,move periodically or seasonally,birds migrate in the Winter,The workers migrate to where the crops need harvesting
militate,8,,have force or influence,bring about an effect or change,Politeness militated against this opinion being expressed
mind,4,,be offended or bothered by,"take offense with, be bothered by",I don't mind your behavior
mine,4,,,get from the earth by excavation,mine ores and metals
miniate,7,rubricate,,decorate (manuscripts) with letters painted red,"In this beautiful book, all the place names are rubricated"
minimize,8,,cause to seem less serious,play down,Don't belittle his influence
mint,4,,"form by stamping, punching, or printing",strike coins,strike a medal
misally,7,,make a bad alliance,ally inappropriately,The two countries are misallied
misapply,8,,apply to a wrong thing or person,apply badly or incorrectly,The words are misapplied in this context
miscalculate,12,,,calculate incorrectly,I miscalculated the number of guests at the wedding
misconstrue,11,misinterpret | misconceive | misunderstand | misapprehend | be amiss |,interpret in the wrong way,Don't misinterpret my comments as criticism,She misconstrued my remarks
misdeal,7,,,deal cards wrongly,
misname,7,,assign in incorrect name to,These misnamed philanthropists,
misplace,8,,place or position wrongly,put in the wrong position,misplaced modifiers
misread,7,,interpret wrongly,I misread Hamlet all my life,
miss,4,,fail to perceive or to catch with the senses or the mind,I missed that remark,She missed his point
miss,4,,fail to attend an event or activity,I missed the concert,He missed school for a week
miss,4,,be without,This soup lacks salt,There is something missing in my jewelry box!
mistreat,8,,treat badly,This boss abuses his workers,She is always stepping on others to get ahead
model,5,,,"form in clay, wax, etc",model a head with clay
model,5,pose,,assume a posture as for artistic purposes,We don't know the woman who posed for Leonardo so often
modernize,9,modernise | develop |,become technologically advanced,Many countries in Asia are now developing at a very fast pace,Viet Nam is modernizing rapidly
modify,6,,make less severe or harsh or extreme,please modify this letter to make it more polite,he modified his views on same-gender marriage
modulate,8,,,"change the key of, in music",modulate the melody
mold,4,,become moldy,spoil due to humidity,The furniture molded in the old house
monitor,7,,keep tabs on,keep an eye on,keep under surveillance
monitor,7,,"check, track, or observe by means of a receiver",,
moonshine,9,,,distill (alcohol) illegally,produce moonshine
mortar,6,,,plaster with mortar,mortar the wall
mortify,7,subdue,hold within limits and control,subdue one's appetites,mortify the flesh
motorbike,9,,ride a motorcycle,,
mount,5,put on,prepare and supply with the necessary equipment for execution or performance,mount a theater production,mount an attack
mouth,5,,articulate silently,form words with the lips only,She mouthed a swear word
move,4,go | run |,progress by being changed,The speech has to go through several more drafts,run through your presentation before the meeting
move,4,,have a turn,make one's move in a game,Can I go now?
move,4,displace | |,"cause to move or shift into a new position or place, both in a concrete and in an abstract sense","Move those boxes into the corner, please",I'm moving my money to another bank
move,4,,"change residence, affiliation, or place of employment",We moved from Idaho to Nebraska,The basketball player moved from one team to another
move involuntarily,18,,move in an uncontrolled manner,,
move over,9,,move in order to make room for someone for something,The park gave way to a supermarket,"`Move over,' he told the crowd"
mug,3,,,rob at gunpoint or with the threat of violence,I was mugged in the streets of New York last night
multiply,8,,,combine by multiplication,multiply 10 by 15
mumble,6,,grind with the gums,chew without teeth and with great difficulty,the old man had no teeth left and mumbled his food
mushroom,8,,grow and spread fast,The problem mushroomed,
muster,6,rally | summon | come up | muster up,gather or bring together,muster the courage to do something,she rallied her intellect
mythicize,9,,interpret as a myth or in terms of mythology,mythicize the ancient stories,
nab,3,,,tag the base runner to get him out,
nag,3,,worry persistently,nagging concerns and doubts,
name,4,identify,give the name or identifying characteristics of,refer to by name or some other identifying characteristic property,Many senators were named in connection with the scandal
name,4,call | know as,assign a specified (usually proper) proper name to,They named their son David,The new school was named after the famous Civil Rights leader
name,4,nominate | make |,charge with a function,charge to be,She was named Head of the Committee
namedrop,8,,refer to people that one assumes one's interlocutors admire in order to try to impress them,,
nap,3,,take a siesta,She naps everyday after lunch for an hour,
narrow,6,,make or become more narrow or restricted,The selection was narrowed,The road narrowed
navigate,8,,"act as the navigator in a car, plane, or vessel and plan, direct, plot the path and position of the conveyance",Is anyone volunteering to navigate during the trip?,Who was navigating the ship during the accident?
nazify,6,,cause or force to adopt Nazism or a Nazi character,Hitler nazified Germany in the 's,The arts were nazified everywhere in Germany
necessitate,11,,"require as useful, just, or proper",It takes nerve to do what she did,success usually requires hard work
negate,6,,,prove negative,show to be false
neglect,7,,leave undone or leave out,How could I miss that typo?,The workers on the conveyor belt miss one out of ten
negociate,9,,,sell or discount,negociate securities
network,7,,,communicate with and within a group,You have to network if you want to get a good job
neutralize,10,neutralise | nullify,make ineffective by counterbalancing the effect of,Her optimism neutralizes his gloom,This action will negate the effect of my efforts
neutralize,10,,get rid of (someone who may be a threat) by killing,The mafia liquidated the informer,the double agent was neutralized
nibble,6,pick,eat intermittently,take small bites of,He pieced at the sandwich all morning
nick,4,,mate successfully,of livestock,
nitrate a,9,,,"treat with nitric acid, so as to change an organic compound into a nitrate",nitroglycerin is obtained by nitrating glycerol
nod,3,,be almost asleep,The old man sat nodding by the fireplace,
nod,3,,let the head fall forward through drowsiness,The old man was nodding in his chair,
nominate,8,propose,put forward,nominate for appointment to an office or for an honor or position,The President nominated her as head of the Civil Rights Commission
normalize,9,normalise | renormalize,make normal or cause to conform to a norm or standard,normalize relations with China,normalize the temperature
nosedive,8,,,plunge nose first,"drop with the nose or front first, of aircraft"
nosh,4,,eat a snack,eat lightly,She never loses weight because she snacks between meals
note,4,,make mention of,She observed that his presentation took up too much time,They noted that it was a fine day to go sailing
notice,6,acknowledge |,"express recognition of the presence or existence of, or acquaintance with",He never acknowledges his colleagues when they run into him in the hallway,She acknowledged his complement with a smile
notice,6,,notice or perceive,She noted that someone was following her,mark my words
nourish,7,,provide with nourishment,We sustained ourselves on bread and water,This kind of food is not nourishing for young children
nucleate,8,,form into a nucleus,Some cells had nucleated,
numerate,8,,read out loud as words written numbers,,
nurse,5,,,"try to cure by special care of treatment, of an illness or injury",He nursed his cold with Chinese herbs
nurse,5,,treat carefully,He nursed his injured back by lying in bed several hours every afternoon,He nursed the flowers in his garden and fertilized them regularly
object,6,,express or raise an objection or protest or criticism or express dissent,She never objected to the amount of work her boss charged her with,"When asked to drive the truck, she objected that she did not have a driver's license"
oblige,6,,bind by an obligation,cause to be indebted,He's held by a contract
obscure,7,blot out,make undecipherable or imperceptible by obscuring or concealing,a hidden message,a veiled threat
obscure,7,,,"reduce a vowel to a neutral one, such as a schwa",
obscure,7,,make less visible or unclear,The stars are obscured by the clouds,the big elm tree obscures our view of the valley
observe,7,,stick to correctly or closely,The pianist kept time with the metronome,keep count
observe,7,celebrate | keep |,behave as expected during of holidays or rites,Keep the commandments,celebrate Christmas
observe,7,keep |,conform one's action or practice to,keep appointments,she never keeps her promises
obstruct,8,,block passage through,obstruct the path,
obstruct,8,block,shut out from view or get in the way so as to hide from sight,The thick curtain blocked the action on the stage,The trees obstruct my view of the mountains
occupy,6,,live (in a certain place),She resides in Princeton,he occupies two rooms on the top floor
occur,5,,come to one's mind,suggest itself,It occurred to me that we should hire another secretary
occur,5,,to be found to exist,sexism occurs in many workplaces,precious stones occur in a large area in Brazil
offer,5,,"make available or accessible, provide or furnish",The conference center offers a health spa,The hotel offers private meeting rooms
offer,5,extend |,offer verbally,extend my greetings,He offered his sympathy
offer,5,bid,,propose a payment,The Swiss dealer offered $2 million for the painting
ogle,4,,look at with amorous intentions,,
opalesce,8,,reflect light or colors like an opal,Distant clouds opalesce like pale brocade,raindrops caught in a sunbeam seem to opalesce
open,4,,,make the opening move,Kasparov opened with a standard opening
operate,7,,handle and cause to function,do not operate machinery after imbibing alcohol,control the lever
operate,7,,direct or control,"projects, businesses, etc.",She is running a relief operation in the Sudan
operate on,10,,,perform surgery on,The doctors operated on the patient but failed to save his life
opine,5,,express one's opinion openly and without fear or hesitation,John spoke up at the meeting,
oppose,6,,be against,express opposition to,We oppose the ban on abortion
optimize,8,,act as an optimist and take a sunny view of the world,,
optimize,8,,make optimal,get the most out of,use best
orb,3,,move in an orbit,The moon orbits around the Earth,The planets are orbiting the sun
ordain,6,enact,order by virtue of superior authority,decree,The King ordained the persecution and expulsion of the Jews
order,5,,make a request for something,Order me some flowers,order a work stoppage
order,5,tell | enjoin,give instructions to or direct somebody to do something with authority,I said to him to go home,She ordered him to do the shopping
order,5,prescribe,issue commands or orders for,,
organize,8,,arrange by systematic planning and united effort,machinate a plot,organize a strike
orient,6,,cause to point,Orient the house towards the West,
orient,6,,be oriented,The weather vane points North,the dancers toes pointed outward
originate,9,,bring into being,He initiated a new program,Start a foundation
originate,9,,come into existence,take on form or shape,A new religious movement originated in that country
osculate,8,,,have at least three points in common with,one curve osculates the other
out,3,,be made known,be disclosed or revealed,The truth will out
out,3,,reveal (something) about somebody's identity or lifestyle,The gay actor was outed last week,Someone outed a CIA agent
outclass,8,,,cause to appear in a lower class,The Yankees outclassed Cincinnati
outfight,8,,to fight better than,get the better of,the Rangers outfought the Maple Leafs
outgrow,7,,grow too large or too mature for,I have outgrown these clothes,She outgrew her childish habits
outlaw,6,,declare illegal,outlaw,Marijuana is criminalized in the U.S.
outmaneuver,11,,defeat by more skillful maneuvering,The English troops outmaneuvered the Germans,My new supervisor knows how to outmaneuver the boss in most situations
outride,7,,,"ride better, faster, or further than",The champion bicyclist outrode all his competitors
outsource,9,,obtain goods or services from an outside supplier,to contract work out,Many companies outsource and hire consultants in order to maintain a flexible workforce
outspan,7,,,remove the yoke or harness from,outspan the draft animals
outwit,6,,beat through cleverness and wit,I beat the traffic,She outfoxed her competitors
ovenbake,8,,,bake in an oven,ovenbake this chicken
overarch,8,,be central or dominant,This scene overarches the entire first act,
overboil,8,,,boil excessively,The peas are overboiled
overcast,8,,make overcast or cloudy,Fall weather often overcasts our beaches,
overcloud,9,,become covered with clouds,The sky clouded over,
overcome,8,get over,get on top of,deal with successfully,He overcame his shyness
overcrop,8,,,to exhaust by excessive cultivation,the farmers overcropped the land
overdress,9,,put on special clothes to appear particularly appealing and attractive,"She never dresses up, even when she goes to the opera",The young girls were all fancied up for the party
overdrive,9,,drive or work too hard,The teacher is overworking his students,Overdriving people often suffer stress
overexpose,10,,,expose excessively,"As a child, I was overexposed to French movies"
overexpose,10,,,expose to too much light,the photographic film was overexposed and there is no image
overgrow,8,grow over,grow beyond or across,The ivy overgrew the patio,
overgrow,8,,become overgrown,The patio overgrew with ivy,
overhang,8,,be suspended over or hang over,This huge rock beetles over the edge of the town,
overhang,8,,project over,,
overhaul,8,,"make repairs, renovations, revisions or adjustments to",You should overhaul your car engine,overhaul the health care system
overlie,7,,lie upon,lie on top of,the granite overlies the older rocks
overlook,8,,watch over,I am overlooking her work,
overlook,8,,"look past, fail to notice",,
override,8,,prevail over,health considerations override financial concerns,
oversleep,9,,sleep longer than intended,,
overstock,9,,stock excessively,,
overthrow,9,,cause the downfall of,of rulers,The Czar was overthrown
overturn,8,,turn from an upright or normal position,The big vase overturned,The canoe tumped over
overturn,8,tip over | turn over | upset,cause to overturn from an upright or normal position,The cat knocked over the flower vase,the clumsy customer turned over the vase
overwrite,9,,,write new data on top of existing data and thus erase the previously existing data,overwrite that file
owe,3,,be in debt,She owes me,I still owe for the car
own,3,,have ownership or possession of,He owns three houses in Florida,How many cars does she have?
pacify,6,,cause to be more favorably inclined,gain the good will of,She managed to mollify the angry customer
pack,4,,"treat the body or any part of it by wrapping it, as with blankets or sheets, and applying compresses to it, or stuffing it to provide cover, containment, or therapy, or to absorb blood",The nurse packed gauze in the wound,You had better pack your swollen ankle with ice
pack,4,,fill to capacity,This singer always packs the concert halls,The murder trial packed the court house
paddle,6,,,propel with a paddle,paddle your own canoe
paint,5,,apply paint to,coat with paint,We painted the rooms yellow
paint,5,,,make a painting of,He painted his mistress many times
paint,5,,,make a painting,he painted all day in the garden
pall,4,,lose strength or effectiveness,"become or appear boring, insipid, or tiresome (to)",the course palled on her
palpate,7,,,examine (a body part) by palpation,The nurse palpated the patient's stomach
palpebrate,10,,"wink or blink, especially repeatedly",,
pamper,6,,treat with excessive indulgence,grandparents often pamper the children,Let's not mollycoddle our students!
pan roast,9,,,roast in a pan,pan-roast that meat
pan-fry,7,,,fry in a pan,pan-fry the dumplings
